game,home_team,away_team,total,over_under,odds,sportsbook,game_time
Minnesota Vikings @ Los Angeles Chargers,Los Angeles Chargers,Minnesota Vikings,44.5,Over,-112,DraftKings,2025-10-24T00:15:00Z
Minnesota Vikings @ Los Angeles Chargers,Los Angeles Chargers,Minnesota Vikings,44.5,Under,-108,DraftKings,2025-10-24T00:15:00Z
Minnesota Vikings @ Los Angeles Chargers,Los Angeles Chargers,Minnesota Vikings,44.5,Over,-112,FanDuel,2025-10-24T00:15:00Z
Minnesota Vikings @ Los Angeles Chargers,Los Angeles Chargers,Minnesota Vikings,44.5,Under,-108,FanDuel,2025-10-24T00:15:00Z
Miami Dolphins @ Atlanta Falcons,Atlanta Falcons,Miami Dolphins,44.5,Over,-115,DraftKings,2025-10-26T17:00:00Z
Miami Dolphins @ Atlanta Falcons,Atlanta Falcons,Miami Dolphins,44.5,Under,-105,DraftKings,2025-10-26T17:00:00Z
Miami Dolphins @ Atlanta Falcons,Atlanta Falcons,Miami Dolphins,44.5,Over,-114,FanDuel,2025-10-26T17:00:00Z
Miami Dolphins @ Atlanta Falcons,Atlanta Falcons,Miami Dolphins,44.5,Under,-106,FanDuel,2025-10-26T17:00:00Z
Chicago Bears @ Baltimore Ravens,Baltimore Ravens,Chicago Bears,49.5,Over,-120,DraftKings,2025-10-26T17:00:00Z
Chicago Bears @ Baltimore Ravens,Baltimore Ravens,Chicago Bears,49.5,Under,100,DraftKings,2025-10-26T17:00:00Z
Chicago Bears @ Baltimore Ravens,Baltimore Ravens,Chicago Bears,50.5,Over,-105,FanDuel,2025-10-26T17:00:00Z
Chicago Bears @ Baltimore Ravens,Baltimore Ravens,Chicago Bears,50.5,Under,-115,FanDuel,2025-10-26T17:00:00Z
Buffalo Bills @ Carolina Panthers,Carolina Panthers,Buffalo Bills,46.5,Over,-105,DraftKings,2025-10-26T17:00:00Z
Buffalo Bills @ Carolina Panthers,Carolina Panthers,Buffalo Bills,46.5,Under,-115,DraftKings,2025-10-26T17:00:00Z
Buffalo Bills @ Carolina Panthers,Carolina Panthers,Buffalo Bills,46.5,Over,-105,FanDuel,2025-10-26T17:00:00Z
Buffalo Bills @ Carolina Panthers,Carolina Panthers,Buffalo Bills,46.5,Under,-115,FanDuel,2025-10-26T17:00:00Z
