player_id,player_name,week,position,team,opponent,passing_attempts,passing_completions,passing_yards,passing_touchdowns,interceptions,red_zone_passes,red_zone_completions,deep_ball_attempts,pressured_attempts,rushing_attempts,rushing_yards,rushing_touchdowns,season,imported_at
00-0035228,Kyler Murray,1,QB,ARI,NO,29,21,163,2,0,4,3,4,0,7,38,0,2025,2025-10-22T19:02:21.139007
00-0039917,Michael Penix Jr.,1,QB,ATL,TB,42,27,298,1,0,2,0,4,0,6,21,1,2025,2025-10-22T19:02:21.139007
00-0034796,Lamar Jackson,1,QB,BAL,BUF,19,14,209,2,0,0,0,4,0,6,70,1,2025,2025-10-22T19:02:21.139007
00-0034857,Josh Allen,1,QB,BUF,BAL,46,33,394,2,0,9,6,8,0,14,30,2,2025,2025-10-22T19:02:21.139007
00-0039150,Bryce Young,1,QB,CAR,JAX,35,18,154,1,2,1,0,3,0,5,40,0,2025,2025-10-22T19:02:21.139007
00-0039918,Caleb Williams,1,QB,CHI,MIN,35,21,210,1,0,2,2,5,0,6,58,1,2025,2025-10-22T19:02:21.139007
00-0036442,Joe Burrow,1,QB,CIN,CLE,23,14,113,1,0,4,1,2,1,2,3,0,2025,2025-10-22T19:02:21.139007
00-0026158,Joe Flacco,1,QB,CLE,CIN,45,31,290,1,2,5,4,2,1,2,6,0,2025,2025-10-22T19:02:21.139007
00-0033077,Dak Prescott,1,QB,DAL,PHI,34,21,188,0,0,1,0,7,1,1,3,0,2025,2025-10-22T19:02:21.139007
00-0039732,Bo Nix,1,QB,DEN,TEN,40,25,176,1,2,2,2,4,1,8,18,0,2025,2025-10-22T19:02:21.139007
00-0033106,Jared Goff,1,QB,DET,GB,39,31,225,1,1,10,4,1,0,1,-1,0,2025,2025-10-22T19:02:21.139007
00-0036264,Jordan Love,1,QB,GB,DET,22,16,188,2,0,6,4,4,1,3,4,0,2025,2025-10-22T19:02:21.139007
00-0039163,C.J. Stroud,1,QB,HOU,LAR,27,19,188,0,1,1,0,3,0,5,32,0,2025,2025-10-22T19:02:21.139007
00-0035710,Daniel Jones,1,QB,IND,MIA,29,22,272,1,0,3,1,3,1,7,26,2,2025,2025-10-22T19:02:21.139007
00-0036971,Trevor Lawrence,1,QB,JAX,CAR,31,19,178,1,1,3,2,3,0,4,12,0,2025,2025-10-22T19:02:21.139007
00-0033873,Patrick Mahomes,1,QB,KC,LAC,39,24,258,1,0,5,1,4,0,6,57,1,2025,2025-10-22T19:02:21.139007
00-0036355,Justin Herbert,1,QB,LAC,KC,34,25,318,3,0,3,2,4,0,7,32,0,2025,2025-10-22T19:02:21.139007
00-0026498,Matthew Stafford,1,QB,LAR,HOU,29,21,245,1,0,2,2,5,0,4,-2,0,2025,2025-10-22T19:02:21.139007
00-0030565,Geno Smith,1,QB,LV,NE,34,24,362,1,1,1,1,6,0,2,10,0,2025,2025-10-22T19:02:21.139007
00-0036212,Tua Tagovailoa,1,QB,MIA,IND,23,14,114,1,2,3,1,3,0,1,7,0,2025,2025-10-22T19:02:21.139007
00-0037013,Zach Wilson,1,QB,MIA,IND,8,5,32,0,0,0,0,2,0,1,3,0,2025,2025-10-22T19:02:21.139007
00-0039923,J.J. McCarthy,1,QB,MIN,CHI,20,13,143,2,1,3,1,2,1,2,25,1,2025,2025-10-22T19:02:21.139007
00-0039851,Drake Maye,1,QB,NE,LV,46,30,287,1,1,4,2,6,2,4,11,0,2025,2025-10-22T19:02:21.139007
00-0039376,Spencer Rattler,1,QB,NO,ARI,46,27,214,0,0,7,0,5,0,4,29,0,2025,2025-10-22T19:02:21.139007
00-0029263,Russell Wilson,1,QB,NYG,WAS,37,17,168,0,0,9,2,2,0,8,44,0,2025,2025-10-22T19:02:21.139007
00-0036945,Justin Fields,1,QB,NYJ,PIT,22,16,218,1,0,0,0,1,1,12,48,2,2025,2025-10-22T19:02:21.139007
00-0036389,Jalen Hurts,1,QB,PHI,DAL,23,19,152,0,0,1,1,1,0,14,62,2,2025,2025-10-22T19:02:21.139007
00-0023459,Aaron Rodgers,1,QB,PIT,NYJ,30,22,244,4,0,3,3,1,1,1,-1,0,2025,2025-10-22T19:02:21.139007
00-0040673,Jalen Milroe,1,QB,SEA,SF,0,0,0,0,0,0,0,0,0,1,1,0,2025,2025-10-22T19:02:21.139007
00-0034869,Sam Darnold,1,QB,SEA,SF,23,16,150,0,0,0,0,3,0,2,14,0,2025,2025-10-22T19:02:21.139007
00-0037834,Brock Purdy,1,QB,SF,SEA,35,26,277,2,2,10,5,5,0,5,17,0,2025,2025-10-22T19:02:21.139007
00-0034855,Baker Mayfield,1,QB,TB,ATL,32,17,167,3,0,1,1,5,0,5,39,0,2025,2025-10-22T19:02:21.139007
00-0040676,Cameron Ward,1,QB,TEN,DEN,28,12,112,0,0,0,0,3,0,0,0,0,2025,2025-10-22T19:02:21.139007
00-0039910,Jayden Daniels,1,QB,WAS,NYG,30,19,233,1,0,3,1,3,0,11,68,0,2025,2025-10-22T19:02:21.139007
00-0029604,Kirk Cousins,1,QB,,TB,0,0,0,0,0,0,0,0,0,0,0,0,2025,2025-10-22T19:02:21.139007
