qb_name,team,season,games_played,total_pass_attempts,total_completions,total_pass_yards,total_pass_tds,passing_tds_per_game,red_zone_accuracy_rating,deep_ball_completion_pct,clean_pocket_accuracy,pressured_completion_pct,avg_depth_of_target,first_half_tds,first_half_td_rate,third_down_conversion_pct,fourth_quarter_tds,td_rate_vs_top10_defenses,td_rate_vs_bottom10_defenses
Aaron Rodgers,Pittsburgh Steelers,2025,6,172.0,118.0,0,14.0,2.3333333333333335,0.0,0.272727,0.0,0.00434783,0,0,0,0,0,0,0
Andy Dalton,Carolina Panthers,2025,3,13.0,9.0,0,1.0,0.3333333333333333,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
Anthony Richardson,Indianapolis Colts,2025,2,2.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
Baker Mayfield,Tampa Bay Buccaneers,2025,6,195.0,129.0,0,12.0,2.0,0.0,0.4375,0.0,0.00577778,0,0,0,0,0,0,0
Bo Nix,Denver Broncos,2025,7,256.0,160.0,0,11.0,1.5714285714285714,0.0,0.272727,0.0,0.00615385,0,0,0,0,0,0,0
Brett Rypien,Cincinnati Bengals,2025,1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
Brock Purdy,San Francisco 49ers,2025,2,73.0,48.0,0,4.0,2.0,0.0,0.7,0.0,0.00529412,0,0,0,0,0,0,0
Bryce Young,Carolina Panthers,2025,7,224.0,138.0,0,11.0,1.5714285714285714,0.0,0.375,0.0,0.0055000000000000005,0,0,0,0,0,0,0
C.J. Stroud,Houston Texans,2025,5,144.0,102.0,0,8.0,1.6,0.0,0.4375,0.0,0.00645161,0,0,0,0,0,0,0
Caleb Williams,Chicago Bears,2025,6,185.0,113.0,0,9.0,1.5,0.0,0.36,0.0,0.00456522,0,0,0,0,0,0,0
Cameron Ward,Tennessee Titans,2025,7,236.0,136.0,0,4.0,0.5714285714285714,0.0,0.470588,0.0,0.004,0,0,0,0,0,0,0
Carson Wentz,Minnesota Vikings,2025,4,142.0,95.0,0,5.0,1.25,0.0,0.36363599999999996,0.0,0.006923080000000001,0,0,0,0,0,0,0
Cooper Rush,Baltimore Ravens,2025,4,52.0,34.0,0,0.0,0.0,0.0,0.333333,0.0,0.00461538,0,0,0,0,0,0,0
Dak Prescott,Dallas Cowboys,2025,7,259.0,185.0,0,16.0,2.2857142857142856,0.0,0.44,0.0,0.006500000000000001,0,0,0,0,0,0,0
Daniel Jones,Indianapolis Colts,2025,7,214.0,152.0,0,10.0,1.4285714285714286,0.0,0.421053,0.0,0.006304349999999999,0,0,0,0,0,0,0
