team_name,season,week,offensive_plays,offensive_yards,offensive_yards_per_play,offensive_first_downs,offensive_touchdowns,first_half_points_avg,first_half_yards_avg,first_half_scoring_plays,red_zone_attempts,red_zone_touchdowns,red_zone_efficiency_pct,defensive_plays,defensive_yards_allowed,defensive_yards_per_play,defensive_touchdowns_allowed,defensive_first_downs_allowed,fg_attempts,fg_made,fg_pct,kicker_points_avg,fg_blocks_allowed,offensive_ypp_percentile,defensive_ypp_percentile
BUF,2024,5,370,1499,4.05,0,0,0,162.0,0,0,0,0,405,1714,4.23,0,0,0,0,0,0,0,43.75,43.75
LAR,2024,5,419,1620,3.87,0,0,0,146.2,0,0,0,0,369,1864,5.05,0,0,0,0,0,0,0,37.5,3.125
DET,2024,5,319,1588,4.98,0,0,0,180.75,0,0,0,0,339,1396,4.12,0,0,0,0,0,0,0,93.75,50.0
WAS,2024,5,400,1965,4.91,0,0,0,202.6,0,0,0,0,378,1640,4.34,0,0,0,0,0,0,0,90.625,31.25
SF,2024,5,400,2040,5.1,0,0,0,211.8,0,0,0,0,362,1538,4.25,0,0,0,0,0,0,0,96.875,37.5
PIT,2024,5,403,1497,3.71,0,0,0,140.6,0,0,0,0,377,1492,3.96,0,0,0,0,0,0,0,28.125,68.75
PHI,2024,5,331,1466,4.43,0,0,0,154.75,0,0,0,0,316,1463,4.63,0,0,0,0,0,0,0,71.875,9.375
KC,2024,5,404,1773,4.39,0,0,0,191.6,0,0,0,0,389,1527,3.93,0,0,0,0,0,0,0,68.75,71.875
NO,2024,5,377,1616,4.29,0,0,0,180.2,0,0,0,0,412,1783,4.33,0,0,0,0,0,0,0,53.125,34.375
TB,2024,5,371,1609,4.34,0,0,0,194.0,0,0,0,0,430,1891,4.4,0,0,0,0,0,0,0,64.0625,28.125
LV,2024,5,391,1489,3.81,0,0,0,137.6,0,0,0,0,407,1641,4.03,0,0,0,0,0,0,0,34.375,65.625
DAL,2024,5,426,1768,4.15,0,0,0,199.6,0,0,0,0,405,1647,4.07,0,0,0,0,0,0,0,50.0,59.375
CIN,2024,5,387,1797,4.64,0,0,0,169.0,0,0,0,0,412,1827,4.43,0,0,0,0,0,0,0,79.6875,25.0
ARI,2024,5,365,1694,4.64,0,0,0,181.2,0,0,0,0,391,1805,4.62,0,0,0,0,0,0,0,79.6875,12.5
MIA,2024,5,416,1512,3.63,0,0,0,140.2,0,0,0,0,369,1427,3.87,0,0,0,0,0,0,0,21.875,78.125
JAX,2024,5,380,1639,4.31,0,0,0,136.4,0,0,0,0,430,1967,4.57,0,0,0,0,0,0,0,56.25,15.625
BAL,2024,5,427,2213,5.18,0,0,0,219.8,0,0,0,0,407,1705,4.19,0,0,0,0,0,0,0,100.0,46.875
HOU,2024,5,434,1883,4.34,0,0,0,205.2,0,0,0,0,381,1371,3.6,0,0,0,0,0,0,0,64.0625,90.625
LAC,2024,5,289,1057,3.66,0,0,0,140.75,0,0,0,0,291,1130,3.88,0,0,0,0,0,0,0,25.0,75.0
CHI,2024,5,426,1438,3.38,0,0,0,154.8,0,0,0,0,388,1474,3.8,0,0,0,0,0,0,0,15.625,84.375
TEN,2024,5,314,1025,3.26,0,0,0,140.75,0,0,0,0,299,977,3.27,0,0,0,0,0,0,0,6.25,96.875
IND,2024,5,370,1752,4.74,0,0,0,163.4,0,0,0,0,439,2096,4.77,0,0,0,0,0,0,0,84.375,6.25
CAR,2024,5,391,1456,3.72,0,0,0,148.0,0,0,0,0,409,1858,4.54,0,0,0,0,0,0,0,31.25,18.75
NE,2024,5,382,1251,3.27,0,0,0,110.6,0,0,0,0,399,1785,4.47,0,0,0,0,0,0,0,9.375,21.875
NYG,2024,5,410,1607,3.92,0,0,0,170.0,0,0,0,0,385,1582,4.11,0,0,0,0,0,0,0,40.625,53.125
CLE,2024,5,421,1199,2.85,0,0,0,95.8,0,0,0,0,401,1630,4.06,0,0,0,0,0,0,0,3.125,62.5
SEA,2024,5,434,1881,4.33,0,0,0,154.8,0,0,0,0,406,1555,3.83,0,0,0,0,0,0,0,59.375,81.25
NYJ,2024,5,403,1433,3.56,0,0,0,125.6,0,0,0,0,395,1279,3.24,0,0,0,0,0,0,0,18.75,100.0
MIN,2024,5,390,1616,4.14,0,0,0,181.2,0,0,0,0,437,1656,3.79,0,0,0,0,0,0,0,46.875,87.5
GB,2024,5,412,1965,4.77,0,0,0,203.6,0,0,0,0,408,1729,4.24,0,0,0,0,0,0,0,87.5,40.625
ATL,2024,5,394,1787,4.54,0,0,0,189.0,0,0,0,0,410,1681,4.1,0,0,0,0,0,0,0,75.0,56.25
DEN,2024,5,404,1353,3.35,0,0,0,113.8,0,0,0,0,414,1358,3.28,0,0,0,0,0,0,0,12.5,93.75
