home_team,away_team,game_date,game_time,week
Los Angeles Chargers,Minnesota Vikings,2025-10-24,00:15Z,8
Atlanta Falcons,Miami Dolphins,2025-10-26,17:00Z,8
Cincinnati Bengals,New York Jets,2025-10-26,17:00Z,8
New England Patriots,Cleveland Browns,2025-10-26,17:00Z,8
Philadelphia Eagles,New York Giants,2025-10-26,17:00Z,8
Carolina Panthers,Buffalo Bills,2025-10-26,17:00Z,8
Baltimore Ravens,Chicago Bears,2025-10-26,17:00Z,8
Houston Texans,San Francisco 49ers,2025-10-26,17:00Z,8
New Orleans Saints,Tampa Bay Buccaneers,2025-10-26,20:05Z,8
Denver Broncos,Dallas Cowboys,2025-10-26,20:25Z,8
Indianapolis Colts,Tennessee Titans,2025-10-26,20:25Z,8
Pittsburgh Steelers,Green Bay Packers,2025-10-27,00:20Z,8
Kansas City Chiefs,Washington Commanders,2025-10-28,00:15Z,8
