game,home_team,away_team,team,spread,odds,sportsbook,game_time
Minnesota Vikings @ Los Angeles Chargers,Los Angeles Chargers,Minnesota Vikings,Los Angeles Chargers,-3.5,-102,DraftKings,2025-10-24T00:15:00Z
Minnesota Vikings @ Los Angeles Chargers,Los Angeles Chargers,Minnesota Vikings,Minnesota Vikings,3.5,-118,DraftKings,2025-10-24T00:15:00Z
Minnesota Vikings @ Los Angeles Chargers,Los Angeles Chargers,Minnesota Vikings,Los Angeles Chargers,-3.5,-102,FanDuel,2025-10-24T00:15:00Z
Minnesota Vikings @ Los Angeles Chargers,Los Angeles Chargers,Minnesota Vikings,Minnesota Vikings,3.5,-120,FanDuel,2025-10-24T00:15:00Z
Miami Dolphins @ Atlanta Falcons,Atlanta Falcons,Miami Dolphins,Atlanta Falcons,-7.5,-115,DraftKings,2025-10-26T17:00:00Z
Miami Dolphins @ Atlanta Falcons,Atlanta Falcons,Miami Dolphins,Miami Dolphins,7.5,-105,DraftKings,2025-10-26T17:00:00Z
Miami Dolphins @ Atlanta Falcons,Atlanta Falcons,Miami Dolphins,Atlanta Falcons,-7.5,-108,FanDuel,2025-10-26T17:00:00Z
Miami Dolphins @ Atlanta Falcons,Atlanta Falcons,Miami Dolphins,Miami Dolphins,7.5,-112,FanDuel,2025-10-26T17:00:00Z
Chicago Bears @ Baltimore Ravens,Baltimore Ravens,Chicago Bears,Baltimore Ravens,-6.5,-105,DraftKings,2025-10-26T17:00:00Z
Chicago Bears @ Baltimore Ravens,Baltimore Ravens,Chicago Bears,Chicago Bears,6.5,-115,DraftKings,2025-10-26T17:00:00Z
Chicago Bears @ Baltimore Ravens,Baltimore Ravens,Chicago Bears,Baltimore Ravens,-6.5,-110,FanDuel,2025-10-26T17:00:00Z
Chicago Bears @ Baltimore Ravens,Baltimore Ravens,Chicago Bears,Chicago Bears,6.5,-110,FanDuel,2025-10-26T17:00:00Z
Buffalo Bills @ Carolina Panthers,Carolina Panthers,Buffalo Bills,Buffalo Bills,-7.0,-120,DraftKings,2025-10-26T17:00:00Z
Buffalo Bills @ Carolina Panthers,Carolina Panthers,Buffalo Bills,Carolina Panthers,7.0,100,DraftKings,2025-10-26T17:00:00Z
Buffalo Bills @ Carolina Panthers,Carolina Panthers,Buffalo Bills,Buffalo Bills,-7.5,-102,FanDuel,2025-10-26T17:00:00Z
Buffalo Bills @ Carolina Panthers,Carolina Panthers,Buffalo Bills,Carolina Panthers,7.5,-120,FanDuel,2025-10-26T17:00:00Z
New York Jets @ Cincinnati Bengals,Cincinnati Bengals,New York Jets,Cincinnati Bengals,-6.5,-110,DraftKings,2025-10-26T17:00:00Z
New York Jets @ Cincinnati Bengals,Cincinnati Bengals,New York Jets,New York Jets,6.5,-110,DraftKings,2025-10-26T17:00:00Z
New York Jets @ Cincinnati Bengals,Cincinnati Bengals,New York Jets,Cincinnati Bengals,-6.5,-110,FanDuel,2025-10-26T17:00:00Z
New York Jets @ Cincinnati Bengals,Cincinnati Bengals,New York Jets,New York Jets,6.5,-110,FanDuel,2025-10-26T17:00:00Z
Cleveland Browns @ New England Patriots,New England Patriots,Cleveland Browns,Cleveland Browns,7.0,-115,DraftKings,2025-10-26T17:00:00Z
Cleveland Browns @ New England Patriots,New England Patriots,Cleveland Browns,New England Patriots,-7.0,-105,DraftKings,2025-10-26T17:00:00Z
Cleveland Browns @ New England Patriots,New England Patriots,Cleveland Browns,Cleveland Browns,7.0,-114,FanDuel,2025-10-26T17:00:00Z
Cleveland Browns @ New England Patriots,New England Patriots,Cleveland Browns,New England Patriots,-7.0,-106,FanDuel,2025-10-26T17:00:00Z
San Francisco 49ers @ Houston Texans,Houston Texans,San Francisco 49ers,Houston Texans,-1.5,-102,DraftKings,2025-10-26T17:00:00Z
San Francisco 49ers @ Houston Texans,Houston Texans,San Francisco 49ers,San Francisco 49ers,1.5,-118,DraftKings,2025-10-26T17:00:00Z
San Francisco 49ers @ Houston Texans,Houston Texans,San Francisco 49ers,Houston Texans,-1.5,-105,FanDuel,2025-10-26T17:00:00Z
San Francisco 49ers @ Houston Texans,Houston Texans,San Francisco 49ers,San Francisco 49ers,1.5,-115,FanDuel,2025-10-26T17:00:00Z
New York Giants @ Philadelphia Eagles,Philadelphia Eagles,New York Giants,New York Giants,7.5,-120,DraftKings,2025-10-26T17:00:00Z
New York Giants @ Philadelphia Eagles,Philadelphia Eagles,New York Giants,Philadelphia Eagles,-7.5,100,DraftKings,2025-10-26T17:00:00Z
New York Giants @ Philadelphia Eagles,Philadelphia Eagles,New York Giants,New York Giants,7.5,-118,FanDuel,2025-10-26T17:00:00Z
New York Giants @ Philadelphia Eagles,Philadelphia Eagles,New York Giants,Philadelphia Eagles,-7.5,-104,FanDuel,2025-10-26T17:00:00Z
Tampa Bay Buccaneers @ New Orleans Saints,New Orleans Saints,Tampa Bay Buccaneers,New Orleans Saints,4.5,-112,DraftKings,2025-10-26T20:05:00Z
Tampa Bay Buccaneers @ New Orleans Saints,New Orleans Saints,Tampa Bay Buccaneers,Tampa Bay Buccaneers,-4.5,-108,DraftKings,2025-10-26T20:05:00Z
Tampa Bay Buccaneers @ New Orleans Saints,New Orleans Saints,Tampa Bay Buccaneers,New Orleans Saints,4.5,-120,FanDuel,2025-10-26T20:05:00Z
Tampa Bay Buccaneers @ New Orleans Saints,New Orleans Saints,Tampa Bay Buccaneers,Tampa Bay Buccaneers,-4.5,-102,FanDuel,2025-10-26T20:05:00Z
Dallas Cowboys @ Denver Broncos,Denver Broncos,Dallas Cowboys,Dallas Cowboys,3.5,-115,DraftKings,2025-10-26T20:25:00Z
Dallas Cowboys @ Denver Broncos,Denver Broncos,Dallas Cowboys,Denver Broncos,-3.5,-105,DraftKings,2025-10-26T20:25:00Z
Dallas Cowboys @ Denver Broncos,Denver Broncos,Dallas Cowboys,Dallas Cowboys,3.5,-115,FanDuel,2025-10-26T20:25:00Z
Dallas Cowboys @ Denver Broncos,Denver Broncos,Dallas Cowboys,Denver Broncos,-3.5,-105,FanDuel,2025-10-26T20:25:00Z
Tennessee Titans @ Indianapolis Colts,Indianapolis Colts,Tennessee Titans,Indianapolis Colts,-14.0,-110,DraftKings,2025-10-26T20:25:00Z
Tennessee Titans @ Indianapolis Colts,Indianapolis Colts,Tennessee Titans,Tennessee Titans,14.0,-110,DraftKings,2025-10-26T20:25:00Z
Tennessee Titans @ Indianapolis Colts,Indianapolis Colts,Tennessee Titans,Indianapolis Colts,-14.5,-104,FanDuel,2025-10-26T20:25:00Z
Tennessee Titans @ Indianapolis Colts,Indianapolis Colts,Tennessee Titans,Tennessee Titans,14.5,-118,FanDuel,2025-10-26T20:25:00Z
Green Bay Packers @ Pittsburgh Steelers,Pittsburgh Steelers,Green Bay Packers,Green Bay Packers,-3.0,-112,DraftKings,2025-10-27T00:20:00Z
Green Bay Packers @ Pittsburgh Steelers,Pittsburgh Steelers,Green Bay Packers,Pittsburgh Steelers,3.0,-108,DraftKings,2025-10-27T00:20:00Z
Green Bay Packers @ Pittsburgh Steelers,Pittsburgh Steelers,Green Bay Packers,Green Bay Packers,-3.0,-118,FanDuel,2025-10-27T00:20:00Z
